depth
time,pressure,depth_raw,depth_filt,
seconds,Pa,m,m,
2950.08747363,-4126.74700000, -0.42080000, -0.44390000,
2950.18944263,-4175.57520000, -0.42580000, -0.44210000,
2950.28688169,-4283.14980000, -0.43680000, -0.44150000,
2950.38833761,-4352.19600000, -0.44380000, -0.44180000,
2950.49007082,-4433.63990000, -0.45210000, -0.44280000,
2950.58865356,-4496.58250000, -0.45850000, -0.44440000,
2950.69050813,-4535.87400000, -0.46250000, -0.44620000,
2950.76552773,-4564.67500000, -0.46550000, -0.44810000,
2950.88987160,-4624.94730000, -0.47160000, -0.45050000,
2950.99102640,-4620.75120000, -0.47120000, -0.45250000,
2951.09053874,-4561.62320000, -0.46520000, -0.45380000,
2951.19169235,-4468.73520000, -0.45570000, -0.45400000,
2951.29348421,-4292.68660000, -0.43770000, -0.45240000,
2951.39068341,-4203.04100000, -0.42860000, -0.45000000,
2951.49490070,-4084.59450000, -0.41650000, -0.44660000,
2951.59454036,-3967.29230000, -0.40460000, -0.44240000,
2951.69114900,-3873.45060000, -0.39500000, -0.43770000,
2951.79447150,-3862.38800000, -0.39390000, -0.43330000,
2951.89446926,-3806.69330000, -0.38820000, -0.42880000,
2951.99590325,-3788.76420000, -0.38630000, -0.42450000,
2952.09842587,-3835.87580000, -0.39120000, -0.42120000,
2952.19066787,-3833.96840000, -0.39100000, -0.41820000,
2952.29723024,-3822.52430000, -0.38980000, -0.41530000,
2952.39835310,-3803.06930000, -0.38780000, -0.41260000,
2952.49848938,-3711.70720000, -0.37850000, -0.40920000,
2952.59899664,-3634.07790000, -0.37060000, -0.40530000,
2952.69908834,-3600.50850000, -0.36710000, -0.40150000,
2952.79950905,-3595.16790000, -0.36660000, -0.39800000,
2952.90118194,-3600.12710000, -0.36710000, -0.39490000,
2952.99074149,-3612.14340000, -0.36830000, -0.39230000,
2953.09214377,-3702.55190000, -0.37760000, -0.39080000,
2953.20184112,-3849.22720000, -0.39250000, -0.39100000,
2953.30124712,-4031.57010000, -0.41110000, -0.39300000,
2953.40316129,-4119.11760000, -0.42000000, -0.39570000,
2953.50239635,-4263.50410000, -0.43480000, -0.39960000,
2953.60385156,-4332.74100000, -0.44180000, -0.40380000,
2953.70338345,-4348.76270000, -0.44350000, -0.40780000,
2953.80554199,-4368.21770000, -0.44540000, -0.41150000,
2953.90447712,-4510.12470000, -0.45990000, -0.41640000,
2954.00477648,-4556.85490000, -0.46470000, -0.42120000,
2954.10565305,-4638.48950000, -0.47300000, -0.42640000,
2954.20860791,-4618.27160000, -0.47090000, -0.43080000,
2954.30824065,-4628.38060000, -0.47200000, -0.43500000,
2954.40763855,-4648.40780000, -0.47400000, -0.43890000,
2954.50860119,-4633.72110000, -0.47250000, -0.44220000,
2954.60880208,-4636.01000000, -0.47270000, -0.44530000,
2954.71014214,-4620.56040000, -0.47120000, -0.44790000,
2954.80956817,-4610.64220000, -0.47020000, -0.45010000,
2954.90915990,-4564.86570000, -0.46550000, -0.45160000,
2955.01147342,-4380.23410000, -0.44670000, -0.45110000,
2955.11021686,-4276.28340000, -0.43610000, -0.44960000,
2955.21055794,-4123.12300000, -0.42040000, -0.44670000,
2955.31237793,-4109.96230000, -0.41910000, -0.44390000,
2955.41285658,-4123.88590000, -0.42050000, -0.44160000,
2955.51198697,-4166.80140000, -0.42490000, -0.43990000,
2955.59106731,-4213.91300000, -0.42970000, -0.43890000,
2955.71531987,-4272.85010000, -0.43570000, -0.43860000,
2955.81430459,-4312.90450000, -0.43980000, -0.43870000,
2955.91441345,-4322.25060000, -0.44070000, -0.43890000,
2956.01602530,-4322.63200000, -0.44080000, -0.43910000,
2956.11501622,-4335.02980000, -0.44210000, -0.43940000,
2956.21683764,-4379.08960000, -0.44650000, -0.44010000,
2956.31608224,-4410.37020000, -0.44970000, -0.44110000,
2956.41623855,-4435.54730000, -0.45230000, -0.44220000,
2956.51626873,-4440.88790000, -0.45280000, -0.44330000,
2956.61919856,-4469.30740000, -0.45570000, -0.44450000,
2956.72010112,-4511.84130000, -0.46010000, -0.44610000,
2956.81881785,-4554.75680000, -0.46450000, -0.44790000,
2956.91906524,-4554.94750000, -0.46450000, -0.44960000,
2957.01629686,-4606.82750000, -0.46980000, -0.45160000,
2957.11541915,-4631.43230000, -0.47230000, -0.45370000,
2957.22129536,-4595.95560000, -0.46870000, -0.45520000,
2957.31616426,-4537.97210000, -0.46270000, -0.45590000,
