altitude
time,h,h_0,h_1,h_2,h_3,
seconds,m,m,m,m,m,
2950.04003620,  6.68634600,  6.28000000,  7.15700000,  6.83200000,  6.54000000,
2950.15395474,  6.76806500,  6.21500000,  7.44900000,  6.99500000,  6.54000000,
2950.25911522,  6.78921100,  6.24700000,  7.48200000,  7.09200000,  6.47500000,
2950.37005329,  6.78231600,  6.28000000,  7.31900000,  7.09200000,  6.54000000,
2950.47725821,  6.77795800,  6.44200000,  7.12400000,  7.06000000,  6.54000000,
2950.59253669,  6.77880300,  6.60500000,  6.96200000,  6.96200000,  6.60500000,
2950.70306563,  6.76685900,  6.83200000,  6.76700000,  6.80000000,  6.67000000,
2950.81203890,  6.77784500,  7.06000000,  6.50700000,  6.76700000,  6.80000000,
2950.91696954,  6.82222300,  7.41700000,  6.24700000,  6.73500000,  6.99500000,
2951.02665234,  6.84792500,  7.67700000,  6.15000000,  6.57200000,  7.18900000,
2951.14095592,  6.88757200,  7.90400000,  6.11700000,  6.54000000,  7.25400000,
2951.24600744,  6.85129800,  7.87200000,  6.08500000,  6.44200000,  7.28700000,
2951.35994458,  6.75317800,  7.41700000,  6.18200000,  6.41000000,  7.15700000,
2951.46929407,  6.66423700,  7.02700000,  6.34500000,  6.41000000,  6.93000000,
2951.57894921,  6.59625200,  6.63700000,  6.54000000,  6.54000000,  6.67000000,
2951.68451357,  6.56981200,  6.41000000,  6.76700000,  6.57200000,  6.54000000,
2951.79629803,  6.61280800,  6.31200000,  6.93000000,  6.73500000,  6.50700000,
2951.90539360,  6.62588300,  6.28000000,  6.99500000,  6.80000000,  6.47500000,
2952.01229882,  6.65106500,  6.34500000,  7.02700000,  6.80000000,  6.47500000,
2952.12121058,  6.67244100,  6.47500000,  6.89700000,  6.83200000,  6.50700000,
2952.23031855,  6.68427400,  6.60500000,  6.80000000,  6.80000000,  6.54000000,
2952.33934116,  6.66028800,  6.76700000,  6.57200000,  6.73500000,  6.57200000,
2952.44831300,  6.70646400,  6.93000000,  6.47500000,  6.76700000,  6.67000000,
2952.55710006,  6.76642800,  7.12400000,  6.44200000,  6.76700000,  6.76700000,
2952.66635418,  6.71521600,  7.12400000,  6.34500000,  6.73500000,  6.70200000,
2952.77424502,  6.73861400,  7.15700000,  6.34500000,  6.80000000,  6.70200000,
2952.88527489,  6.75316800,  7.22200000,  6.37700000,  6.83200000,  6.63700000,
2952.99548697,  6.73343200,  7.09200000,  6.41000000,  6.83200000,  6.63700000,
2953.10740066,  6.72596300,  7.09200000,  6.41000000,  6.76700000,  6.67000000,
2953.21653366,  6.68686000,  6.99500000,  6.37700000,  6.70200000,  6.70200000,
2953.32201457,  6.69285900,  7.02700000,  6.37700000,  6.57200000,  6.83200000,
2953.43097711,  6.72704000,  6.96200000,  6.47500000,  6.54000000,  6.96200000,
2953.54092765,  6.72012700,  6.89700000,  6.57200000,  6.47500000,  6.96200000,
2953.64892793,  6.69035500,  6.76700000,  6.63700000,  6.47500000,  6.89700000,
2953.75781322,  6.70108200,  6.60500000,  6.80000000,  6.60500000,  6.80000000,
2953.86646914,  6.73341700,  6.60500000,  6.86500000,  6.70200000,  6.76700000,
2953.97191882,  6.75210900,  6.47500000,  7.02700000,  6.89700000,  6.63700000,
2954.08563757,  6.75562200,  6.44200000,  7.09200000,  6.99500000,  6.54000000,
2954.19762206,  6.76904300,  6.44200000,  7.12400000,  7.06000000,  6.50700000,
2954.30665064,  6.73708700,  6.41000000,  7.06000000,  7.06000000,  6.47500000,
2954.41394305,  6.68956900,  6.50700000,  6.89700000,  6.83200000,  6.54000000,
2954.52502894,  6.66935400,  6.60500000,  6.73500000,  6.63700000,  6.70200000,
2954.63399339,  6.66554100,  6.83200000,  6.50700000,  6.50700000,  6.83200000,
2954.73795176,  6.70088100,  7.09200000,  6.37700000,  6.37700000,  7.02700000,
2954.84810400,  6.73312100,  7.22200000,  6.31200000,  6.37700000,  7.12400000,
