DVL
time,v_x,v_y,v_z,data\_good,
seconds,m/s,m/s,m/s,bool,
2950.05677080,  0.34000000, -0.03600000, -0.20700000,  1.00000000,
2950.16295767,  0.41100000, -0.08700000, -0.21800000,  1.00000000,
2950.27105117,  0.45600000, -0.16000000, -0.22800000,  1.00000000,
2950.38199019,  0.51200000, -0.23000000, -0.22500000,  1.00000000,
2950.48901320,  0.52600000, -0.34500000, -0.20000000,  1.00000000,
2950.60099769,  0.55200000, -0.43100000, -0.15300000,  1.00000000,
2950.71210146,  0.53800000, -0.50400000, -0.03800000,  1.00000000,
2950.82096767,  0.48600000, -0.49800000,  0.09200000,  1.00000000,
2950.93002653,  0.43500000, -0.39500000,  0.22400000,  1.00000000,
2951.04193354,  0.35600000, -0.24600000,  0.29600000,  1.00000000,
2951.15000510,  0.27400000, -0.11700000,  0.31400000,  1.00000000,
2951.25667286,  0.17300000, -0.06400000,  0.32600000,  1.00000000,
2951.36902666,  0.12100000, -0.03500000,  0.30900000,  1.00000000,
2951.47829914,  0.08500000, -0.06800000,  0.26000000,  1.00000000,
2951.58530402,  0.07200000, -0.09100000,  0.15800000,  1.00000000,
2951.69713879,  0.09300000, -0.09700000,  0.01700000,  1.00000000,
2951.80618119,  0.14900000, -0.10500000, -0.13100000,  1.00000000,
2951.91740084,  0.23900000, -0.14700000, -0.23600000,  1.00000000,
2952.02422786,  0.31800000, -0.20200000, -0.27600000,  1.00000000,
2952.13317966,  0.38500000, -0.24400000, -0.24800000,  1.00000000,
2952.24225259,  0.44900000, -0.31400000, -0.18400000,  1.00000000,
2952.35123992,  0.47700000, -0.31000000, -0.10900000,  1.00000000,
2952.45718765,  0.52400000, -0.33800000, -0.06800000,  1.00000000,
2952.56831741,  0.50900000, -0.34300000, -0.02500000,  1.00000000,
2952.67826724,  0.46800000, -0.32500000,  0.01500000,  1.00000000,
2952.78627253,  0.43800000, -0.34700000,  0.05900000,  1.00000000,
2952.89432120,  0.38400000, -0.35900000,  0.11000000,  1.00000000,
2953.00825691,  0.34500000, -0.36300000,  0.14600000,  1.00000000,
2953.11632490,  0.28900000, -0.31200000,  0.15500000,  1.00000000,
2953.22532916,  0.25600000, -0.25400000,  0.12900000,  1.00000000,
2953.33391714,  0.22500000, -0.15600000,  0.07300000,  1.00000000,
2953.44285822,  0.23200000, -0.03900000,  0.01900000,  1.00000000,
2953.54992676,  0.27600000,  0.07400000, -0.02800000,  1.00000000,
2953.66091394,  0.30400000,  0.08300000, -0.08800000,  1.00000000,
2953.76898837,  0.35200000,  0.02900000, -0.12100000,  1.00000000,
2953.87834811,  0.38200000, -0.08700000, -0.13600000,  1.00000000,
2953.98436713,  0.38800000, -0.24100000, -0.08800000,  1.00000000,
2954.09761786,  0.38200000, -0.36400000, -0.02100000,  1.00000000,
2954.20651746,  0.34900000, -0.41200000,  0.05800000,  1.00000000,
2954.31803489,  0.35500000, -0.38500000,  0.11500000,  1.00000000,
2954.42660046,  0.31700000, -0.32000000,  0.13600000,  1.00000000,
2954.53392148,  0.30100000, -0.21800000,  0.11400000,  1.00000000,
2954.64292502,  0.27900000, -0.17100000,  0.08400000,  1.00000000,
2954.75108218,  0.28600000, -0.17700000,  0.05700000,  1.00000000,
2954.85991144,  0.27600000, -0.18600000,  0.04200000,  1.00000000,
2954.96996665,  0.30100000, -0.21200000,  0.03600000,  1.00000000,
2955.07899261,  0.31400000, -0.21200000,  0.01000000,  1.00000000,
2955.18789887,  0.31800000, -0.21900000, -0.04000000,  1.00000000,
2955.29414487,  0.32500000, -0.19100000, -0.11200000,  1.00000000,
2955.40819669,  0.32600000, -0.15300000, -0.18300000,  1.00000000,
2955.51733518,  0.32500000, -0.11900000, -0.21500000,  1.00000000,
2955.62580919,  0.30100000, -0.13200000, -0.20400000,  1.00000000,
2955.73575163,  0.28800000, -0.15100000, -0.12900000,  1.00000000,
2955.83976269,  0.27800000, -0.14200000, -0.03200000,  1.00000000,
2955.95081019,  0.27100000, -0.11100000,  0.06500000,  1.00000000,
2956.06079435,  0.29100000, -0.09400000,  0.14400000,  1.00000000,
2956.17080760,  0.31500000, -0.09800000,  0.18300000,  1.00000000,
2956.28188205,  0.31800000, -0.09400000,  0.19700000,  1.00000000,
2956.38885164,  0.32200000, -0.11500000,  0.19900000,  1.00000000,
2956.49885774,  0.33900000, -0.10900000,  0.17700000,  1.00000000,
2956.60977411,  0.36100000, -0.12300000,  0.10700000,  1.00000000,
2956.72050166,  0.38100000, -0.17500000,  0.00800000,  1.00000000,
2956.82984662,  0.41100000, -0.23600000, -0.09300000,  1.00000000,
2956.93790746,  0.42000000, -0.27200000, -0.15000000,  1.00000000,
2957.04758239,  0.42700000, -0.28700000, -0.15700000,  1.00000000,
2957.15654612,  0.38900000, -0.26600000, -0.11500000,  1.00000000,
2957.26428771,  0.39000000, -0.22700000, -0.04900000,  1.00000000,
2957.37183976,  0.34300000, -0.16600000,  0.01000000,  1.00000000,
2957.48176360,  0.32400000, -0.10800000,  0.05000000,  1.00000000,
2957.59076023,  0.29800000, -0.04500000,  0.06300000,  1.00000000,
2957.69985700,  0.30500000, -0.03200000,  0.04900000,  1.00000000,
2957.81001401,  0.31900000, -0.04000000,  0.01800000,  1.00000000,
2957.92183399,  0.33800000, -0.09900000, -0.02700000,  1.00000000,
2958.02986336,  0.39600000, -0.16800000, -0.06200000,  1.00000000,
2958.14002109,  0.44700000, -0.23100000, -0.07800000,  1.00000000,
2958.24715543,  0.49200000, -0.28800000, -0.07300000,  1.00000000,
2958.35572362,  0.51700000, -0.33600000, -0.05000000,  1.00000000,
2958.46471763,  0.53200000, -0.36700000, -0.00600000,  1.00000000,
2958.57571054,  0.52200000, -0.35900000,  0.03900000,  1.00000000,
2958.68421268,  0.50200000, -0.31300000,  0.07600000,  1.00000000,
2958.79365230,  0.47800000, -0.28600000,  0.11800000,  1.00000000,
2958.89744878,  0.47900000, -0.22200000,  0.14800000,  1.00000000,
2959.01171279,  0.48100000, -0.15900000,  0.16000000,  1.00000000,
2959.12270474,  0.48900000, -0.08700000,  0.13000000,  1.00000000,
2959.23078418,  0.51400000, -0.06200000,  0.06700000,  1.00000000,
2959.33711720,  0.53900000, -0.09700000, -0.00000000,  1.00000000,
2959.44803166,  0.57400000, -0.16900000, -0.08500000,  1.00000000,
2959.55889487,  0.59300000, -0.25500000, -0.15300000,  1.00000000,
2959.66740227,  0.60400000, -0.32800000, -0.21000000,  1.00000000,
2959.77389359,  0.60400000, -0.34500000, -0.22000000,  1.00000000,
2959.88288903,  0.61800000, -0.31900000, -0.18100000,  1.00000000,
2959.99099278,  0.58800000, -0.27300000, -0.12200000,  1.00000000,
2960.10093594,  0.58000000, -0.18100000, -0.05800000,  1.00000000,
2960.21091247,  0.60500000, -0.10200000, -0.04100000,  1.00000000,
2960.32298446,  0.60800000, -0.04700000, -0.04700000,  1.00000000,
2960.43057871,  0.64300000, -0.04900000, -0.05800000,  1.00000000,
2960.54075956,  0.65800000, -0.08200000, -0.03500000,  1.00000000,
2960.64961243,  0.66700000, -0.11400000,  0.01700000,  1.00000000,
2960.75974345,  0.70900000, -0.11900000,  0.07800000,  1.00000000,
2960.86775994,  0.72900000, -0.13300000,  0.10600000,  1.00000000,
2960.97614551,  0.76700000, -0.15400000,  0.09800000,  1.00000000,
2961.08511615,  0.77000000, -0.18900000,  0.05500000,  1.00000000,
2961.19501996,  0.80200000, -0.26700000,  0.02900000,  1.00000000,
2961.30064440,  0.82400000, -0.36800000,  0.02100000,  1.00000000,
2961.41457057,  0.86500000, -0.43900000,  0.02900000,  1.00000000,
2961.52705431,  0.91100000, -0.45800000,  0.04000000,  1.00000000,
2961.63156509,  0.96000000, -0.40300000,  0.05000000,  1.00000000,
2961.74074244,  0.98900000, -0.27800000,  0.04400000,  1.00000000,
2961.85059738,  0.97900000, -0.19100000,  0.00700000,  1.00000000,
2961.96017075,  1.06000000, -0.07800000, -0.06800000,  1.00000000,
2962.06923914,  1.00900000, -0.06200000, -0.10600000,  1.00000000,
2962.17355084,  0.99000000, -0.08800000, -0.12400000,  1.00000000,
2962.28849316,  0.95000000, -0.11300000, -0.12300000,  1.00000000,
2962.39178348,  0.88700000, -0.14900000, -0.10500000,  1.00000000,
2962.50164223,  0.86000000, -0.17600000, -0.08500000,  1.00000000,
2962.61611724,  0.83300000, -0.18500000, -0.06600000,  1.00000000,
2962.72623515,  0.84400000, -0.16200000, -0.03600000,  1.00000000,
2962.83461475,  0.86100000, -0.17900000, -0.01700000,  1.00000000,
2962.94157720,  0.91400000, -0.20400000, -0.02300000,  1.00000000,
2963.05660343,  0.97900000, -0.21900000, -0.03700000,  1.00000000,
2963.15974426,  1.03800000, -0.25800000, -0.04600000,  1.00000000,
2963.27072763,  1.12300000, -0.25400000, -0.04800000,  1.00000000,
2963.38062572,  1.20300000, -0.24600000, -0.04800000,  1.00000000,
2963.48932004,  1.28600000, -0.15000000, -0.03700000,  1.00000000,
2963.59566712,  1.33600000, -0.11400000, -0.03000000,  1.00000000,
2963.70965910,  1.36300000, -0.12900000, -0.04700000,  1.00000000,
2963.81822848,  1.43400000, -0.09900000, -0.09400000,  1.00000000,
2963.92855382,  1.44600000, -0.12000000, -0.11900000,  1.00000000,
2964.03951120,  1.43800000, -0.14200000, -0.11300000,  1.00000000,
2964.14617538,  1.46400000, -0.12400000, -0.06800000,  1.00000000,
2964.25468040,  1.43400000, -0.14900000, -0.00800000,  1.00000000,
2964.36614633,  1.41100000, -0.18900000,  0.10100000,  1.00000000,
2964.47568917,  1.39900000, -0.20300000,  0.20000000,  1.00000000,
2964.58169627,  1.38900000, -0.25100000,  0.25100000,  1.00000000,
2964.68980193,  1.37200000, -0.27700000,  0.26900000,  1.00000000,
2964.80308199,  1.35900000, -0.24800000,  0.26500000,  1.00000000,
2964.91072965,  1.36300000, -0.26300000,  0.25100000,  1.00000000,
2965.02679110,  1.35300000, -0.26100000,  0.21600000,  1.00000000,
2965.13477802,  1.40400000, -0.22100000,  0.14800000,  1.00000000,
2965.24691606,  1.43200000, -0.17100000,  0.08400000,  1.00000000,
2965.35483718,  1.46700000, -0.12500000,  0.01700000,  1.00000000,
2965.46458554,  1.50900000, -0.11200000, -0.03700000,  1.00000000,
2965.57192445,  1.54500000, -0.09200000, -0.03500000,  1.00000000,
2965.68187857,  1.55500000, -0.05400000, -0.01100000,  1.00000000,
2965.79210234,  1.59800000,  0.01300000,  0.03300000,  1.00000000,
2965.89919877,  1.63600000,  0.02300000,  0.03100000,  1.00000000,
2966.00911045,  1.68900000,  0.04000000,  0.00600000,  1.00000000,
2966.11998487,  1.72200000, -0.03800000, -0.01200000,  1.00000000,
2966.22891188,  1.77100000, -0.13000000, -0.04900000,  1.00000000,
2966.33934999,  1.78800000, -0.24800000, -0.04500000,  1.00000000,
2966.44708633,  1.79800000, -0.32600000, -0.04400000,  1.00000000,
2966.55763865,  1.82000000, -0.33900000, -0.02800000,  1.00000000,
2966.66318059,  1.79600000, -0.33300000, -0.04200000,  1.00000000,
2966.77039981,  1.80200000, -0.29000000, -0.05400000,  1.00000000,
2966.88162947,  1.77300000, -0.22500000, -0.10100000,  1.00000000,
2966.98736739,  1.82700000, -0.19700000, -0.12800000,  1.00000000,
2967.09875131,  1.83100000, -0.16900000, -0.15500000,  1.00000000,
2967.20655298,  1.83100000, -0.15200000, -0.15200000,  1.00000000,
2967.31608558,  1.78300000, -0.08400000, -0.11000000,  1.00000000,
2967.42600298,  1.76000000,  0.00600000, -0.04700000,  1.00000000,
2967.53668094,  1.74800000,  0.09900000,  0.00300000,  1.00000000,
2967.64159966,  1.68700000,  0.13900000,  0.02200000,  1.00000000,
2967.75273442,  1.70100000,  0.10300000,  0.04300000,  1.00000000,
2967.86162472,  1.70200000,  0.07300000,  0.03700000,  1.00000000,
2967.97058058,  1.67200000, -0.04800000,  0.02300000,  1.00000000,
2968.07890821,  1.71700000, -0.04900000, -0.01000000,  1.00000000,
2968.18564224,  1.71900000, -0.06400000, -0.06100000,  1.00000000,
