flaps
time,port,starboard,top,bottom,
seconds,rad,rad,rad,rad,
2957.15662098,  0.32690000, -0.32690000, -0.32690000,  0.32690000,
2957.25897360,  0.34370000, -0.34370000, -0.34370000,  0.34370000,
2957.35790229,  0.36190000, -0.36190000, -0.36190000,  0.36190000,
2957.45911407,  0.37820000, -0.37820000, -0.37820000,  0.37820000,
2957.55831742,  0.38720000, -0.38720000, -0.38720000,  0.38720000,
2957.65789509,  0.38940000, -0.38940000, -0.38940000,  0.38940000,
2957.75790071,  0.38480000, -0.38480000, -0.38480000,  0.38480000,
2957.85852075,  0.37380000, -0.37380000, -0.37380000,  0.37380000,
2957.95939207,  0.35650000, -0.35650000, -0.35650000,  0.35650000,
2958.05808663,  0.33830000, -0.33830000, -0.33830000,  0.33830000,
2958.15841627,  0.32180000, -0.32180000, -0.32180000,  0.32180000,
2958.25869823,  0.30490000, -0.30490000, -0.30490000,  0.30490000,
2958.35972762,  0.29620000, -0.29620000, -0.29620000,  0.29620000,
2958.45802665,  0.29390000, -0.29390000, -0.29390000,  0.29390000,
2958.55771899,  0.30080000, -0.30080000, -0.30080000,  0.30080000,
2958.65790415,  0.31530000, -0.31530000, -0.31530000,  0.31530000,
2958.75784087,  0.33440000, -0.33440000, -0.33440000,  0.33440000,
2958.85961914,  0.35410000, -0.35410000, -0.35410000,  0.35410000,
2958.95837855,  0.37090000, -0.37090000, -0.37090000,  0.37090000,
2959.05800080,  0.38230000, -0.38230000, -0.38230000,  0.38230000,
2959.15788579,  0.38690000, -0.38690000, -0.38690000,  0.38690000,
2959.25821233,  0.38380000, -0.38380000, -0.38380000,  0.38380000,
2959.35907793,  0.37370000, -0.37370000, -0.37370000,  0.37370000,
2959.45921874,  0.35900000, -0.35900000, -0.35900000,  0.35900000,
2959.55829740,  0.33890000, -0.33890000, -0.33890000,  0.33890000,
2959.65888548,  0.31900000, -0.31900000, -0.31900000,  0.31900000,
2959.75978780,  0.30430000, -0.30430000, -0.30430000,  0.30430000,
2959.85882711,  0.29770000, -0.29770000, -0.29770000,  0.29770000,
2959.95887566,  0.30110000, -0.30110000, -0.30110000,  0.30110000,
2960.05806828,  0.31470000, -0.31470000, -0.31470000,  0.31470000,
2960.15793610,  0.33510000, -0.33510000, -0.33510000,  0.33510000,
2960.25874949,  0.35570000, -0.35570000, -0.35570000,  0.35570000,
2960.35938001,  0.37200000, -0.37200000, -0.37200000,  0.37200000,
2960.45891094,  0.37800000, -0.37800000, -0.37800000,  0.37800000,
2960.55800033,  0.37620000, -0.37620000, -0.37620000,  0.37620000,
2960.65901399,  0.36720000, -0.36720000, -0.36720000,  0.36720000,
2960.75786853,  0.35090000, -0.35090000, -0.35090000,  0.35090000,
2960.85858679,  0.33440000, -0.33440000, -0.33440000,  0.33440000,
2960.95788646,  0.31490000, -0.31490000, -0.31490000,  0.31490000,
2961.05825162,  0.29640000, -0.29640000, -0.29640000,  0.29640000,
2961.15774512,  0.28270000, -0.28270000, -0.28270000,  0.28270000,
2961.25790048,  0.27630000, -0.27630000, -0.27630000,  0.27630000,
2961.35770702,  0.27870000, -0.27870000, -0.27870000,  0.27870000,
2961.45769262,  0.28950000, -0.28950000, -0.28950000,  0.28950000,
2961.55770230,  0.30680000, -0.30680000, -0.30680000,  0.30680000,
2961.65880990,  0.32850000, -0.32850000, -0.32850000,  0.32850000,
2961.75927687,  0.35060000, -0.35060000, -0.35060000,  0.35060000,
2961.85902810,  0.36870000, -0.36870000, -0.36870000,  0.36870000,
2961.95867109,  0.37940000, -0.37940000, -0.37940000,  0.37940000,
2962.05907369,  0.38290000, -0.38290000, -0.38290000,  0.38290000,
2962.15787363,  0.37920000, -0.37920000, -0.37920000,  0.37920000,
2962.25830388,  0.36820000, -0.36820000, -0.36820000,  0.36820000,
2962.35799789,  0.35140000, -0.35140000, -0.35140000,  0.35140000,
