pitch control
time,pitch\_input,pitch\_setpoint,elevator\_angle\_output,
seconds,rad,rad,rad,
2957.15532207,  0.00230000,         NaN,  0.34910000,
2957.25765657,  0.01150000,         NaN,  0.34910000,
2957.35737634,  0.01300000,         NaN,  0.34910000,
2957.45801067,  0.00630000,         NaN,  0.34910000,
2957.55783010, -0.00560000,         NaN,  0.34910000,
2957.65732074, -0.01790000,         NaN,  0.34910000,
2957.75726438, -0.02980000,         NaN,  0.34910000,
2957.85779095, -0.03630000,         NaN,  0.34910000,
2957.95793080, -0.03520000,         NaN,  0.34910000,
2958.05745792, -0.02750000,         NaN,  0.34910000,
2958.15788674, -0.01770000,         NaN,  0.34910000,
2958.25808120, -0.00570000,         NaN,  0.34910000,
2958.35779476,  0.00190000,         NaN,  0.34910000,
2958.45743275,  0.00690000,         NaN,  0.34910000,
2958.55721879,  0.00840000,         NaN,  0.34910000,
2958.65729570,  0.00780000,         NaN,  0.34910000,
2958.75725436,  0.00430000,         NaN,  0.34910000,
2958.85842800, -0.00340000,         NaN,  0.34910000,
2958.95778966, -0.01610000,         NaN,  0.34910000,
2959.05735898, -0.03170000,         NaN,  0.34910000,
2959.15728259, -0.04670000,         NaN,  0.34910000,
2959.25751758, -0.05990000,         NaN,  0.34910000,
2959.35793400, -0.06700000,         NaN,  0.34910000,
2959.45781779, -0.06800000,         NaN,  0.34910000,
2959.55767632, -0.06210000,         NaN,  0.34910000,
2959.65756321, -0.04980000,         NaN,  0.34910000,
2959.75812101, -0.03350000,         NaN,  0.34910000,
2959.85750961, -0.01660000,         NaN,  0.34910000,
2959.95746613, -0.00290000,         NaN,  0.34910000,
2960.05750823,  0.00540000,         NaN,  0.34910000,
2960.15730119,  0.00780000,         NaN,  0.34910000,
2960.25752497,  0.00620000,         NaN,  0.34910000,
2960.35823083,  0.00250000,         NaN,  0.34910000,
2960.45773482, -0.00190000,         NaN,  0.34910000,
2960.55724525, -0.00640000,         NaN,  0.34910000,
2960.65777445, -0.01270000,         NaN,  0.34910000,
2960.75739121, -0.02050000,         NaN,  0.34910000,
2960.85762620, -0.02640000,         NaN,  0.34910000,
2960.95722437, -0.03040000,         NaN,  0.34910000,
2961.05737185, -0.03020000,         NaN,  0.34910000,
2961.15720081, -0.02660000,         NaN,  0.34910000,
2961.25725198, -0.02230000,         NaN,  0.34910000,
2961.35718107, -0.01930000,         NaN,  0.34910000,
2961.45716119, -0.01860000,         NaN,  0.34910000,
2961.55714917, -0.02080000,         NaN,  0.34910000,
2961.65758967, -0.02530000,         NaN,  0.34910000,
2961.75771642, -0.02900000,         NaN,  0.34910000,
2961.85772252, -0.02910000,         NaN,  0.34910000,
2961.95751429, -0.02490000,         NaN,  0.34910000,
2962.05783391, -0.01830000,         NaN,  0.34910000,
2962.15725136, -0.01120000,         NaN,  0.34910000,
2962.25737667, -0.00660000,         NaN,  0.34910000,
2962.35724092, -0.00600000,         NaN,  0.34910000,
2962.45759416, -0.00900000,         NaN,  0.34910000,
2962.55726027, -0.01590000,         NaN,  0.34910000,
2962.65734172, -0.02490000,         NaN,  0.34910000,
2962.75840807, -0.03460000,         NaN,  0.34910000,
2962.85717225, -0.04320000,         NaN,  0.34910000,
2962.95724964, -0.05000000,         NaN,  0.34910000,
2963.05735540, -0.05610000,         NaN,  0.34910000,
2963.15750933, -0.06190000,         NaN,  0.34910000,
2963.25745606, -0.06670000,         NaN,  0.34910000,
2963.35718036, -0.06850000,         NaN,  0.34910000,
2963.45725012, -0.06630000,         NaN,  0.34910000,
2963.55719757, -0.05940000,         NaN,  0.34910000,
2963.65729833, -0.04720000,         NaN,  0.34910000,
2963.75735450, -0.02880000,         NaN,  0.34910000,
2963.85729122, -0.00590000,         NaN,  0.34910000,
2963.95753741,  0.01990000,         NaN,  0.34910000,
2964.05718732,  0.04570000,         NaN,  0.34910000,
2964.15747595,  0.06970000,         NaN,  0.34910000,
2964.25756502,  0.08840000,         NaN,  0.34910000,
2964.35724330,  0.10000000,         NaN,  0.34910000,
2964.45726824,  0.10380000,         NaN,  0.34910000,
2964.55724978,  0.10220000,         NaN,  0.34910000,
2964.65764856,  0.09760000,         NaN,  0.34910000,
2964.75729442,  0.09100000,         NaN,  0.34910000,
2964.85748196,  0.08190000,         NaN,  0.34910000,
2964.95725703,  0.07010000,         NaN,  0.34910000,
2965.05718160,  0.05660000,         NaN,  0.34910000,
2965.15722084,  0.04280000,         NaN,  0.34910000,
2965.25726724,  0.03050000,         NaN,  0.34910000,
2965.35723305,  0.02040000,         NaN,  0.34910000,
2965.45752692,  0.01110000,         NaN,  0.34910000,
2965.55724645,  0.00000000,         NaN,  0.34910000,
2965.65739059, -0.01480000,         NaN,  0.34910000,
2965.75739956, -0.03230000,         NaN,  0.34910000,
2965.85725951, -0.05030000,         NaN,  0.34910000,
2965.95721173, -0.06590000,         NaN,  0.34910000,
2966.05731726, -0.07720000,         NaN,  0.34910000,
2966.15722466, -0.08370000,         NaN,  0.34910000,
2966.25729823, -0.08630000,         NaN,  0.34910000,
2966.35723925, -0.08630000,         NaN,  0.34910000,
2966.45731950, -0.08550000,         NaN,  0.34910000,
2966.55757451, -0.08540000,         NaN,  0.34910000,
2966.65735888, -0.08490000,         NaN,  0.34910000,
2966.75739980, -0.08200000,         NaN,  0.34910000,
2966.85724902, -0.07450000,         NaN,  0.34910000,
2966.95757389, -0.06100000,         NaN,  0.34910000,
2967.05727744, -0.04260000,         NaN,  0.34910000,
2967.15731764, -0.02300000,         NaN,  0.34910000,
2967.25725889, -0.00700000,         NaN,  0.34910000,
2967.35726666,  0.00250000,         NaN,  0.34910000,
2967.45726395,  0.00530000,         NaN,  0.34910000,
2967.55766845,  0.00260000,         NaN,  0.34910000,
2967.65725136, -0.00180000,         NaN,  0.34910000,
2967.75716853, -0.00820000,         NaN,  0.34910000,
2967.85726976, -0.01550000,         NaN,  0.34910000,
2967.95729637, -0.02350000,         NaN,  0.34910000,
2968.05717015, -0.03150000,         NaN,  0.34910000,
2968.15742302, -0.03930000,         NaN,  0.34910000,
2968.25762796, -0.04500000,         NaN,  0.34910000,
2968.35713744, -0.04680000,         NaN,  0.34910000,
2968.45744109, -0.04360000,         NaN,  0.34910000,
2968.55769348, -0.03730000,         NaN,  0.34910000,
2968.65735245, -0.02970000,         NaN,  0.34910000,
2968.75727582, -0.02400000,         NaN,  0.34910000,
2968.85730124, -0.02120000,         NaN,  0.34910000,
2968.95744061, -0.02030000,         NaN,  0.34910000,
2969.05750823, -0.01950000,         NaN,  0.34910000,
2969.15731192, -0.01650000,         NaN,  0.34910000,
2969.25723529, -0.01320000,         NaN,  0.34910000,
2969.35764027, -0.01110000,         NaN,  0.34910000,
2969.45734978, -0.01130000,         NaN,  0.34910000,
2969.55763221, -0.01200000,         NaN,  0.34910000,
2969.65723610, -0.01330000,         NaN,  0.34910000,
2969.75719547, -0.01490000,         NaN,  0.34910000,
2969.85729480, -0.01760000,         NaN,  0.34910000,
2969.95764661, -0.02130000,         NaN,  0.34910000,
2970.05727339, -0.02380000,         NaN,  0.34910000,
2970.15741634, -0.02360000,         NaN,  0.34910000,
2970.25738454, -0.02160000,         NaN,  0.34910000,
2970.35737610, -0.01910000,         NaN,  0.34910000,
2970.45772076, -0.01720000,         NaN,  0.34910000,
2970.55753589, -0.01720000,         NaN,  0.34910000,
2970.65722251, -0.01870000,         NaN,  0.34910000,
2970.75759125, -0.02060000,         NaN,  0.34910000,
2970.85720301, -0.02180000,         NaN,  0.34910000,
2970.95768762, -0.02160000,         NaN,  0.34910000,
2971.05724597, -0.01970000,         NaN,  0.34910000,
2971.15733981, -0.01560000,         NaN,  0.34910000,
2971.25750637, -0.00880000,         NaN,  0.34910000,
2971.35715985,  0.00010000,         NaN,  0.34910000,
2971.45751786,  0.00960000,         NaN,  0.34910000,
2971.55746245,  0.01800000,         NaN,  0.34910000,
2971.65729713,  0.02510000,         NaN,  0.34910000,
2971.75795078,  0.03050000,         NaN,  0.34910000,
2971.85718060,  0.03370000,         NaN,  0.34910000,
2971.95770526,  0.03360000,         NaN,  0.34910000,
2972.05747581,  0.03110000,         NaN,  0.34910000,
2972.15769649,  0.02720000,         NaN,  0.34910000,
2972.25748944,  0.02340000,         NaN,  0.34910000,
2972.35766554,  0.01960000,         NaN,  0.34910000,
2972.45764923,  0.01610000,         NaN,  0.34910000,
2972.55753350,  0.01330000,         NaN,  0.34910000,
2972.65733218,  0.01180000,         NaN,  0.34910000,
2972.75761557,  0.01160000,         NaN,  0.34910000,
2972.85727024,  0.01240000,         NaN,  0.34910000,
2972.95764279,  0.01330000,         NaN,  0.34910000,
2973.05736065,  0.01340000,         NaN,  0.34910000,
2973.15759277,  0.01130000,         NaN,  0.34910000,
2973.25736880,  0.00680000,         NaN,  0.34910000,
2973.35747147,  0.00020000,         NaN,  0.34910000,
2973.45746946, -0.00790000,         NaN,  0.34910000,
2973.55781460, -0.01670000,         NaN,  0.34910000,
2973.65731049, -0.02450000,         NaN,  0.34910000,
2973.75735760, -0.02960000,         NaN,  0.34910000,
2973.85726023, -0.03000000,         NaN,  0.34910000,
2973.95764804, -0.02620000,         NaN,  0.34910000,
2974.05729222, -0.01850000,         NaN,  0.34910000,
2974.15731049, -0.00640000,         NaN,  0.34910000,
2974.25729895,  0.01160000,         NaN,  0.34910000,
2974.35776925,  0.03500000,         NaN,  0.34910000,
2974.45732141,  0.06050000,         NaN,  0.34910000,
2974.55760169,  0.08410000,         NaN,  0.34910000,
2974.65759563,  0.10360000,         NaN,  0.34910000,
2974.75731039,  0.11810000,         NaN,  0.34910000,
2974.85733366,  0.12790000,         NaN,  0.34910000,
2974.95785117,  0.13310000,         NaN,  0.34910000,
2975.05725074,  0.13420000,         NaN,  0.34910000,
2975.15729332,  0.13000000,         NaN,  0.34910000,
2975.25731921,  0.12060000,         NaN,  0.34910000,
2975.35756063,  0.10700000,         NaN,  0.34910000,
2975.45787621,  0.09130000,         NaN,  0.34910000,
2975.55727673,  0.07470000,         NaN,  0.34910000,
2975.65727854,  0.05880000,         NaN,  0.34910000,
2975.75780106,  0.04500000,         NaN,  0.34910000,
2975.85758162,  0.03420000,         NaN,  0.34910000,
2975.95756364,  0.02660000,         NaN,  0.34910000,
2976.05750799,  0.02280000,         NaN,  0.34910000,
2976.15731144,  0.02250000,         NaN,  0.34910000,
2976.25810695,  0.02520000,         NaN,  0.34910000,
2976.35767221,  0.03020000,         NaN,  0.34910000,
2976.45720625,  0.03520000,         NaN,  0.34910000,
2976.55755925,  0.03930000,         NaN,  0.34910000,
2976.65722704,  0.04160000,         NaN,  0.34910000,
2976.75728059,  0.04260000,         NaN,  0.34910000,
2976.85752368,  0.04350000,         NaN,  0.34910000,
2976.95722556,  0.04580000,         NaN,  0.34910000,
2977.05753517,  0.05160000,         NaN,  0.34910000,
2977.15719557,  0.06120000,         NaN,  0.34910000,
2977.25791836,  0.07320000,         NaN,  0.34910000,
2977.35752130,  0.08740000,         NaN,  0.34910000,
2977.45754576,  0.09850000,         NaN,  0.34910000,
2977.55784297,  0.10910000,         NaN,  0.34910000,
2977.65753388,  0.11710000,         NaN,  0.34910000,
2977.75765371,  0.12230000,         NaN,  0.34910000,
2977.85751748,  0.12490000,         NaN,  0.34910000,
2977.95805907,  0.12570000,         NaN,  0.34910000,
2978.05775380,  0.12610000,         NaN,  0.34910000,
2978.16456342,         NaN,         NaN,         NaN,
2979.18059444,  0.15390000,         NaN,  0.34910000,
2979.28174472,  0.14580000, -0.15300000, -0.34910000,
2979.38160467,  0.14100000, -0.14770000, -0.34910000,
2979.48168945,  0.13670000, -0.14730000, -0.34910000,
2979.58186102,  0.13150000, -0.14600000, -0.34910000,
2979.68212414,  0.12260000, -0.14630000, -0.34910000,
2979.78187823,  0.10840000, -0.14880000,  0.02430000,
2979.88165617,  0.09000000, -0.14920000,  0.26210000,
2979.98175120,  0.07100000, -0.14750000,  0.29420000,
2980.08170772,  0.05400000, -0.14480000,  0.19280000,
2980.18164444,  0.03960000, -0.14340000,  0.08720000,
2980.28164673,  0.02680000, -0.14400000,  0.09790000,
2980.38163114,  0.01410000, -0.14190000,  0.15220000,
2980.48169136,  0.00220000, -0.14100000,  0.12880000,
2980.58168769, -0.00760000, -0.13940000,  0.00720000,
2980.68161130, -0.01490000, -0.13940000, -0.11290000,
2980.78168178, -0.02030000, -0.14040000, -0.20980000,
2980.88164496, -0.02450000, -0.14360000, -0.34800000,
2980.98193884, -0.02730000, -0.14360000, -0.34910000,
2981.08207226, -0.02960000, -0.14370000, -0.34910000,
2981.18172908, -0.03370000, -0.14530000, -0.23870000,
2981.28166389, -0.04180000, -0.14300000,  0.16710000,
2981.38161588, -0.05370000, -0.14040000,  0.34910000,
2981.48160219, -0.06800000, -0.14110000,  0.34910000,
2981.58152676, -0.08370000, -0.13870000,  0.34910000,
2981.68211150, -0.09910000, -0.13930000,  0.34910000,
2981.78176928, -0.11290000, -0.14350000,  0.34910000,
2981.88170671, -0.12420000, -0.14210000,  0.34910000,
2981.98171186, -0.13250000, -0.14250000,  0.34910000,
2982.08162999, -0.13870000, -0.14150000,  0.27420000,
2982.18172336, -0.14230000, -0.14150000,  0.08360000,
2982.28179646, -0.14220000, -0.13880000, -0.14180000,
2982.38166523, -0.13790000, -0.14060000, -0.34910000,
2982.48186374, -0.12870000, -0.14190000, -0.34910000,
2982.58163333, -0.11450000, -0.14410000, -0.34910000,
2982.68171620, -0.09570000, -0.14880000, -0.34910000,
2982.78166389, -0.07350000, -0.14760000, -0.34910000,
2982.88164806, -0.05040000, -0.14330000, -0.34910000,
2982.98168874, -0.02990000, -0.14330000, -0.34910000,
