Yaw
time,yaw\_input,yaw\_setpoint,rudder\_angle\_output,
seconds,rad,rad,rad,
2957.15555191,  2.22680000,  1.57080000, -0.34910000,
2957.25790858,  2.22190000,  1.57080000, -0.34910000,
2957.35745955,  2.22060000,  1.57080000, -0.34910000,
2957.45826697,  2.22490000,  1.57080000, -0.34910000,
2957.55793452,  2.23410000,  1.57080000, -0.34910000,
2957.65740037,  2.24590000,  1.57080000, -0.34910000,
2957.75739121,  2.26040000,  1.57080000, -0.34910000,
2957.85790277,  2.27350000,  1.57080000, -0.34910000,
2957.95834351,  2.28320000,  1.57080000, -0.34910000,
2958.05758095,  2.28590000,  1.57080000, -0.34910000,
2958.15800548,  2.28250000,  1.57080000, -0.34910000,
2958.25823522,  2.27150000,  1.57080000, -0.34910000,
2958.35809612,  2.25820000,  1.57080000, -0.34910000,
2958.45754313,  2.24120000,  1.57080000, -0.34910000,
2958.55732822,  2.22590000,  1.57080000, -0.34910000,
2958.65738320,  2.21520000,  1.57080000, -0.34910000,
2958.75736403,  2.21000000,  1.57080000, -0.34910000,
2958.85868192,  2.21030000,  1.57080000, -0.34910000,
2958.95789266,  2.21630000,  1.57080000, -0.34910000,
2959.05746412,  2.22740000,  1.57080000, -0.34910000,
2959.15737724,  2.24170000,  1.57080000, -0.34910000,
2959.25767517,  2.25820000,  1.57080000, -0.34910000,
2959.35817289,  2.27070000,  1.57080000, -0.34910000,
2959.45806885,  2.27710000,  1.57080000, -0.34910000,
2959.55779815,  2.27690000,  1.57080000, -0.34910000,
2959.65786576,  2.26960000,  1.57080000, -0.34910000,
2959.75855565,  2.25770000,  1.57080000, -0.34910000,
2959.85780668,  2.24550000,  1.57080000, -0.34910000,
2959.95772386,  2.23600000,  1.57080000, -0.34910000,
2960.05760646,  2.23090000,  1.57080000, -0.34910000,
2960.15746856,  2.23040000,  1.57080000, -0.34910000,
2960.25780654,  2.23430000,  1.57080000, -0.34910000,
2960.35847044,  2.24170000,  1.57080000, -0.34910000,
2960.45805430,  2.24800000,  1.57080000, -0.34910000,
2960.55755258,  2.25220000,  1.57080000, -0.34910000,
2960.65803337,  2.25510000,  1.57080000, -0.34910000,
2960.75751185,  2.25760000,  1.57080000, -0.34910000,
2960.85782599,  2.26030000,  1.57080000, -0.34910000,
2960.95736361,  2.26380000,  1.57080000, -0.34910000,
2961.05757451,  2.26680000,  1.57080000, -0.34910000,
2961.15731835,  2.26640000,  1.57080000, -0.34910000,
2961.25743294,  2.25940000,  1.57080000, -0.34910000,
2961.35731244,  2.24440000,  1.57080000, -0.34910000,
2961.45730090,  2.22280000,  1.57080000, -0.34910000,
2961.55725431,  2.20030000,  1.57080000, -0.34910000,
2961.65788317,  2.18350000,  1.57080000, -0.34910000,
2961.75798225,  2.17610000,  1.57080000, -0.34910000,
2961.85799909,  2.17770000,  1.57080000, -0.34910000,
2961.95774722,  2.18580000,  1.57080000, -0.34910000,
2962.05817032,  2.19710000,  1.57080000, -0.34910000,
2962.15735126,  2.20780000,  1.57080000, -0.34910000,
2962.25759149,  2.21400000,  1.57080000, -0.34910000,
2962.35738420,  2.21480000,  1.57080000, -0.34910000,
2962.45786405,  2.21040000,  1.57080000, -0.34910000,
2962.55746627,  2.20300000,  1.57080000, -0.34910000,
2962.65753102,  2.19380000,  1.57080000, -0.34910000,
2962.75856423,  2.18320000,  1.57080000, -0.34910000,
2962.85726690,  2.17120000,  1.57080000, -0.34910000,
2962.95735478,  2.15740000,  1.57080000, -0.34910000,
2963.05750751,  2.14160000,  1.57080000, -0.34910000,
2963.15762138,  2.12420000,  1.57080000, -0.34910000,
2963.25777626,  2.10670000,  1.57080000, -0.34910000,
2963.35728478,  2.09230000,  1.57080000, -0.34910000,
2963.45743585,  2.08340000,  1.57080000, -0.34910000,
2963.55737233,  2.08180000,  1.57080000, -0.34910000,
2963.65745521,  2.08630000,  1.57080000, -0.34910000,
2963.75751829,  2.09450000,  1.57080000, -0.34910000,
2963.85743570,  2.10460000,  1.57080000, -0.34910000,
2963.95779228,  2.11470000,  1.57080000, -0.34910000,
2964.05739069,  2.12300000,  1.57080000, -0.34910000,
2964.15761161,  2.12850000,  1.57080000, -0.34910000,
2964.25770903,  2.13050000,  1.57080000, -0.34910000,
2964.35740066,  2.12840000,  1.57080000, -0.34910000,
2964.45741868,  2.12200000,  1.57080000, -0.34910000,
2964.55741382,  2.11240000,  1.57080000, -0.34910000,
2964.65797472,  2.09910000,  1.57080000, -0.34910000,
2964.75741410,  2.08250000,  1.57080000, -0.34910000,
2964.85760093,  2.06290000,  1.57080000, -0.34910000,
2964.95741582,  2.04130000,  1.57080000, -0.34910000,
2965.05734086,  2.01950000,  1.57080000, -0.34910000,
2965.15736771,  1.99940000,  1.57080000, -0.34910000,
2965.25739503,  1.98170000,  1.57080000, -0.34910000,
2965.35735512,  1.96600000,  1.57080000, -0.34910000,
2965.45783806,  1.95140000,  1.57080000, -0.34910000,
2965.55737138,  1.93960000,  1.57080000, -0.34910000,
2965.65761018,  1.93310000,  1.57080000, -0.34910000,
2965.75752592,  1.93330000,  1.57080000, -0.34910000,
2965.85740137,  1.93950000,  1.57080000, -0.34910000,
2965.95738196,  1.94730000,  1.57080000, -0.34910000,
2966.05744982,  1.95240000,  1.57080000, -0.34910000,
2966.15738678,  1.95280000,  1.57080000, -0.34910000,
2966.25746274,  1.94730000,  1.57080000, -0.34910000,
2966.35739279,  1.93520000,  1.57080000, -0.34910000,
2966.45744395,  1.91800000,  1.57080000, -0.34910000,
