line tracking
time,cross\_track\_err\_input,cross\_track\_err\_setpoint,yaw\_line,yaw\_setpoint,
seconds,m,m,rad,rad,
2998.77935839, -3.85000000,  0.00000000,  2.87890000,  3.17250000,
2998.88082385, -3.83000000,  0.00000000,  2.87890000,  3.17310000,
2998.98065400, -3.82000000,  0.00000000,  2.87890000,  3.17380000,
2999.08048272, -3.79000000,  0.00000000,  2.87890000,  3.17430000,
2999.18083930, -3.77000000,  0.00000000,  2.87890000,  3.17460000,
2999.28210902, -3.75000000,  0.00000000,  2.87890000,  3.17500000,
2999.38094878, -3.72000000,  0.00000000,  2.87890000,  3.17510000,
2999.48099208, -3.70000000,  0.00000000,  2.87890000,  3.17530000,
2999.58077574, -3.67000000,  0.00000000,  2.87890000,  3.17550000,
2999.68046474, -3.64000000,  0.00000000,  2.87890000,  3.17540000,
2999.78135657, -3.61000000,  0.00000000,  2.87890000,  3.17520000,
2999.88068986, -3.58000000,  0.00000000,  2.87890000,  3.17500000,
2999.98051357, -3.55000000,  0.00000000,  2.87890000,  3.17460000,
3000.08074212, -3.52000000,  0.00000000,  2.87890000,  3.17420000,
3000.18036366, -3.48000000,  0.00000000,  2.87890000,  3.17360000,
3000.28029680, -3.44000000,  0.00000000,  2.87890000,  3.17300000,
3000.38094449, -3.41000000,  0.00000000,  2.87890000,  3.17230000,
3000.48117065, -3.37000000,  0.00000000,  2.87890000,  3.17170000,
3000.58086467, -3.34000000,  0.00000000,  2.87890000,  3.17110000,
3000.68076348, -3.30000000,  0.00000000,  2.87890000,  3.17050000,
3000.78058410, -3.27000000,  0.00000000,  2.87890000,  3.17000000,
3000.88028789, -3.24000000,  0.00000000,  2.87890000,  3.16940000,
3000.98037505, -3.20000000,  0.00000000,  2.87890000,  3.16880000,
3001.08073545, -3.17000000,  0.00000000,  2.87890000,  3.16800000,
3001.18083620, -3.14000000,  0.00000000,  2.87890000,  3.16740000,
3001.28083396, -3.10000000,  0.00000000,  2.87890000,  3.16680000,
3001.38090563, -3.07000000,  0.00000000,  2.87890000,  3.16650000,
3001.48075271, -3.04000000,  0.00000000,  2.87890000,  3.16590000,
3001.58052421, -3.01000000,  0.00000000,  2.87890000,  3.16550000,
3001.68055511, -2.98000000,  0.00000000,  2.87890000,  3.16490000,
3001.78123450, -2.95000000,  0.00000000,  2.87890000,  3.16440000,
3001.88065743, -2.93000000,  0.00000000,  2.87890000,  3.16410000,
3001.98088956, -2.90000000,  0.00000000,  2.87890000,  3.16370000,
3002.08144760, -2.87000000,  0.00000000,  2.87890000,  3.16340000,
3002.18069291, -2.85000000,  0.00000000,  2.87890000,  3.16320000,
3002.28051591, -2.82000000,  0.00000000,  2.87890000,  3.16310000,
3002.38102579, -2.80000000,  0.00000000,  2.87890000,  3.16270000,
3002.48070455, -2.77000000,  0.00000000,  2.87890000,  3.16250000,
3002.58030987, -2.75000000,  0.00000000,  2.87890000,  3.16220000,
3002.68055391, -2.72000000,  0.00000000,  2.87890000,  3.16190000,
3002.78057265, -2.71000000,  0.00000000,  2.87890000,  3.16220000,
3002.88049006, -2.69000000,  0.00000000,  2.87890000,  3.16240000,
3002.98028851, -2.67000000,  0.00000000,  2.87890000,  3.16240000,
3003.08148003, -2.65000000,  0.00000000,  2.87890000,  3.16250000,
3003.18085623, -2.63000000,  0.00000000,  2.87890000,  3.16270000,
3003.28067160, -2.62000000,  0.00000000,  2.87890000,  3.16290000,
3003.38108373, -2.60000000,  0.00000000,  2.87890000,  3.16310000,
3003.48050761, -2.58000000,  0.00000000,  2.87890000,  3.16330000,
3003.58050156, -2.57000000,  0.00000000,  2.87890000,  3.16340000,
3003.68068123, -2.55000000,  0.00000000,  2.87890000,  3.16360000,
3003.78086281, -2.53000000,  0.00000000,  2.87890000,  3.16350000,
3003.88045287, -2.51000000,  0.00000000,  2.87890000,  3.16380000,
3003.98075914, -2.48000000,  0.00000000,  2.87890000,  3.16280000,
3004.08070683, -2.47000000,  0.00000000,  2.87890000,  3.16320000,
3004.18114614, -2.46000000,  0.00000000,  2.87890000,  3.16370000,
3004.28050399, -2.44000000,  0.00000000,  2.87890000,  3.16380000,
3004.38049960, -2.42000000,  0.00000000,  2.87890000,  3.16340000,
3004.48054552, -2.39000000,  0.00000000,  2.87890000,  3.16320000,
3004.58050275, -2.37000000,  0.00000000,  2.87890000,  3.16270000,
3004.68073249, -2.34000000,  0.00000000,  2.87890000,  3.16220000,
3004.78034234, -2.33000000,  0.00000000,  2.87890000,  3.16210000,
